CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
345	86.337652	0	0	0	3.078459
346	86.486646	0	0	0	3.242544
347	86.628908	0	0	0	3.408799
348	86.76479	0	0	0	3.577135
349	86.894626	0	0	0	3.747465
350	87.018721	0	0	0	3.919707
351	87.137372	0	0	0	4.093784
352	87.250854	0	0	0	4.269621
353	87.359424	0	0	0	4.447147
354	87.463318	0	0	0	4.626292
355	87.562774	0	0	0	4.806992
356	87.657997	0	0	0	4.989184
357	87.749199	0	0	0	5.172809
358	87.836563	0	0	0	5.35781
359	87.920281	0	0	0	5.544131
360	88.000511	0	0	0	5.73172
361	88.077421	17.600101	0	0	3.280513
362	87.901268	28.423414	0	0	1.710247
363	87.98229	28.423414	0	0	1.897548
364	88.059954	28.423414	0	0	2.086079
365	87.883832	31.522501	0	0	1.836617
366	87.965577	31.522501	0	0	2.023654
367	88.043934	31.522501	0	0	2.211931
368	87.86785	34.483856	0	0	1.963246
369	87.950258	34.483856	0	0	2.150041
370	87.774357	28.214947	6.26891	0	2.173906
371	87.598808	24.123909	10.359947	0	2.273906
372	87.423611	20.626053	13.857802	0	2.373906
373	87.248764	17.63537	16.848485	0	2.473906
374	87.074266	15.078322	19.405533	0	2.573906
375	86.900117	12.892035	21.59182	0	2.673906
376	86.726317	11.02275	23.461106	0	2.773906
377	86.552865	9.424502	25.059354	0	2.873906
378	86.379759	8.057993	26.425863	0	2.973906
379	86.206999	6.889621	27.594235	0	3.073906
380	86.034585	5.890658	28.593198	0	3.173906
381	85.862516	5.03654	29.447316	0	3.273906
382	85.690791	4.395471	30.088385	0	3.410552
383	85.51941	3.908188	30.575668	0	3.581179
384	85.348371	3.523727	30.960129	0	3.777642
385	85.177674	3.211812	31.272044	0	3.994494
386	85.007319	2.953192	31.530664	0	4.227893
387	84.837304	2.734981	31.748875	0	4.475012
388	84.667629	2.548201	31.935655	0	4.733711
389	84.498294	2.386385	32.097471	0	5.002324
390	84.329298	2.386385	30.296698	1.800775	0
391	84.160639	2.386385	30.170845	1.926628	-0
392	83.992318	2.386385	30.045515	2.051958	-0
393	83.824333	2.386385	29.920706	2.176767	-0
394	83.656684	2.386385	29.796415	2.301058	-0
395	83.489371	2.386385	29.67264	2.424833	-0
396	83.322392	2.386385	29.549379	2.548093	-0
397	83.155748	2.386385	29.42663	2.670842	-0
398	82.989436	2.386385	29.304392	2.793081	-0
399	82.823457	2.386385	29.182661	2.914811	-0
400	82.65781	2.386385	29.061436	3.036037	-0
401	82.492495	2.386385	28.940714	3.156758	-0
402	82.32751	2.386385	28.820494	3.276978	-0
403	82.162855	2.386385	28.700773	3.396699	-0
404	81.998529	2.386385	28.581551	3.515922	-0
405	81.834532	2.386385	28.462822	3.634651	-0
406	81.670863	2.386385	28.344587	3.752885	-0
407	81.507521	2.386385	28.226843	3.870629	-0
408	81.344506	2.386385	28.109589	3.987884	-0
409	81.181817	2.386385	27.992821	4.104652	-0
410	81.019453	2.386385	27.876537	4.220934	-0
411	80.857414	2.386385	27.760738	4.336734	-0
412	80.6957	2.386385	27.64542	4.452052	-0
413	80.534308	2.386385	27.530581	4.566892	-0
414	80.37324	2.386385	27.416218	4.681254	-0
415	80.212493	2.386385	27.30233	4.795141	-0
416	80.052068	2.386385	27.188915	4.908556	-0
417	79.891964	2.386385	27.075972	5.021499	-0
418	79.73218	2.386385	26.963497	5.133973	-0
419	79.572716	2.386385	26.85149	5.245979	-0
420	79.41357	2.386385	26.739948	5.357521	-0
421	79.254743	2.386385	26.62887	5.468599	-0
422	79.096234	2.386385	26.518253	5.579216	-0
423	78.938041	2.386385	26.408096	5.689373	-0
424	78.780165	2.386385	26.298397	5.799072	-0
425	78.622605	2.386385	26.189154	5.908316	-0
426	78.46536	2.386385	26.080364	6.017106	-0
427	78.308429	2.386385	25.972027	6.125445	-0
428	78.151812	2.386385	25.86414	6.233333	-0
429	77.995508	0	0	0	-0
430	78.593315	0	0	0	0.05675
