CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
338	87.566909	0	0	0	0
339	87.888103	0	0	0	0
340	88.195836	0	0	0	0
341	88.019447	2.666667	0	0	0
342	87.843408	5.262222	0	0	0
343	88.153014	5.262222	0	0	0
344	87.976709	7.788563	0	0	0
345	88.280726	7.788563	0	0	0
346	88.104162	10.247535	0	0	0
347	87.927956	12.640934	0	0	0
348	88.234014	12.640934	0	0	0
349	88.057548	14.97051	0	0	0
350	87.881433	17.237963	0	0	0
351	88.18944	17.237963	0	0	0
352	88.013059	19.44495	0	0	0
353	87.837035	21.593084	0	0	0
354	88.138441	21.593084	0	0	0.006975
355	87.962166	23.720392	0	0	0
356	88.146786	23.720392	0	0	0.099888
357	87.970496	25.899809	0	0	0.071316
358	88.137565	25.899809	0	0	0.185602
359	87.96129	28.016956	0	0	0.157031
360	88.128642	28.016956	0	0	0.271316
361	87.952382	30.073614	0	0	0.242745
362	88.120007	30.073614	0	0	0.357031
363	87.94377	32.07151	0	0	0.328459
364	88.111654	32.07151	0	0	0.442745
365	87.935433	34.012325	0	0	0.414173
366	88.103576	34.012325	0	0	0.528459
367	87.92737	35.897686	0	0	0.499888
368	88.095756	35.897686	0	0	0.614173
369	87.919565	37.729179	0	0	0.585602
370	87.743726	32.729179	5	0	0.685602
371	87.568238	28.391796	9.337383	0	0.785602
372	87.393102	24.629217	13.099961	0	0.885602
373	87.218316	21.365269	16.36391	0	0.985602
374	87.043879	18.533871	19.195308	0	1.085602
375	86.869791	16.077698	21.651481	0	1.185602
376	86.696052	13.947026	23.782152	0	1.285602
377	86.52266	12.098719	25.63046	0	1.385602
378	86.349614	10.495355	27.233824	0	1.485602
379	86.176915	9.104474	28.624704	0	1.585602
380	86.004561	7.897918	29.83126	0	1.685602
381	85.832552	6.851259	30.877919	0	1.785602
382	85.660887	5.943306	31.785872	0	1.885602
383	85.489565	5.155679	32.573499	0	1.985602
384	85.318586	4.472431	33.256747	0	2.085602
385	85.147949	3.879729	33.849449	0	2.185602
386	84.977653	3.365574	34.363604	0	2.285602
387	84.807698	2.919556	34.809622	0	2.385602
388	84.638082	2.564079	35.165099	0	2.509973
389	84.468806	2.290444	35.438735	0	2.668389
390	84.299869	2.290444	34.415939	1.022796	0
391	84.131269	2.290444	34.286453	1.152282	0
392	83.963006	2.290444	34.157455	1.28128	-0
393	83.79508	2.290444	34.028942	1.409792	0
394	83.62749	2.290444	33.900913	1.537821	-0
395	83.460235	2.290444	33.773365	1.665369	0
396	83.293315	2.290444	33.646297	1.792437	-0
397	83.126728	2.290444	33.519707	1.919026	0
398	82.960475	2.290444	33.393593	2.045139	-0
399	82.794554	2.290444	33.267956	2.170778	0
400	82.628965	2.290444	33.142788	2.295944	-0
401	82.463707	2.290444	33.018093	2.420639	0
402	82.298779	2.290444	32.893867	2.544865	-0
403	82.134182	2.290444	32.770107	2.668624	0
404	81.969913	2.290444	32.646812	2.791917	-0
405	81.805973	2.290444	32.523983	2.914746	0
406	81.642362	2.290444	32.401615	3.037113	-0
407	81.479077	2.290444	32.279709	3.15902	0
408	81.316119	2.290444	32.15826	3.280468	-0
409	81.153486	2.290444	32.03727	3.401459	0
410	80.991179	2.290444	31.916735	3.521995	-0
411	80.829197	2.290444	31.796652	3.642077	0
412	80.667539	2.290444	31.677021	3.761707	-0
413	80.506204	2.290444	31.55784	3.880888	0
414	80.345191	2.290444	31.439108	3.99962	-0
415	80.184501	2.290444	31.320822	4.117905	0
416	80.024132	2.290444	31.202982	4.235745	-0
417	79.864084	2.290444	31.085585	4.353142	0
418	79.704355	2.290444	30.96863	4.470098	-0
419	79.544947	2.290444	30.852114	4.586613	0
420	79.385857	2.290444	30.736036	4.70269	-0
421	79.227085	2.290444	30.620396	4.81833	0
422	79.068631	2.290444	30.50519	4.933535	-0
423	78.910494	2.290444	30.390419	5.048306	0
424	78.752673	2.290444	30.276079	5.162646	-0
425	78.595167	2.290444	30.16217	5.276556	0
426	78.437977	2.290444	30.048689	5.390037	-0
427	78.281101	2.290444	29.935635	5.503091	0
428	78.124539	2.290444	29.823006	5.61572	-0
429	77.96829	0	0	0	0
430	78.691857	0	0	0	-0
431	79.385093	0	0	0	0
432	80.049267	0	0	0	-0
433	80.685603	0	0	0	0
434	81.295259	0	0	0	-0
435	81.879363	0	0	0	0
436	82.438979	0	0	0	-0
437	82.975136	0	0	0	0
438	83.488816	0	0	0	-0
439	83.980963	0	0	0	0
440	84.452484	0	0	0	-0
441	84.904238	0	0	0	0
442	85.337056	0	0	0	-0
443	85.751729	0	0	0	0
444	86.14902	0	0	0	-0
445	86.52965	0	0	0	0
446	86.894329	0	0	0	-0
447	87.243719	0	0	0	0
448	87.578459	0	0	0	-0
449	87.899167	0	0	0	0
450	88.206435	0	0	0	-0
451	88.030023	2.666667	0	0	0
452	87.853962	5.262222	0	0	0
453	88.163126	5.262222	0	0	0
454	87.986798	7.788563	0	0	0
455	88.290389	7.788563	0	0	0
456	88.113809	10.247535	0	0	0
457	87.93758	12.640934	0	0	0
458	88.243234	12.640934	0	0	0
459	88.066746	14.97051	0	0	0
460	87.890616	17.237963	0	0	0
461	88.198242	17.237963	0	0	0
462	88.021846	19.44495	0	0	0
463	87.845799	21.593084	0	0	0
464	88.155306	21.593084	0	0	0
465	87.978993	23.683935	0	0	0
466	88.171608	23.683935	0	0	0.09278
467	87.995265	25.864393	0	0	0.064209
468	88.16158	25.864393	0	0	0.178495
469	87.98526	27.982553	0	0	0.149923
470	88.15188	27.982553	0	0	0.264209
471	87.975575	30.040195	0	0	0.235637
472	88.142492	30.040195	0	0	0.349923
473	87.966209	32.039047	0	0	0.321352
474	88.133408	32.039047	0	0	0.435637
475	87.957141	33.980789	0	0	0.407066
476	88.124621	33.980789	0	0	0.521352
477	87.948369	35.867054	0	0	0.49278
478	88.116116	35.867054	0	0	0.607066
479	87.939887	37.699425	0	0	0.578495
480	87.764007	32.699425	5	0	0.678495
481	87.588479	28.362564	9.33686	0	0.778495
482	87.413302	24.600893	13.098531	0	0.878495
483	87.238476	21.338125	16.361299	0	0.978494
484	87.063999	18.508091	19.191332	0	1.078494
485	86.889871	16.0534	21.646024	0	1.178494
486	86.716091	13.92427	23.775155	0	1.278494
487	86.542659	12.077521	25.621903	0	1.378494
488	86.369574	10.475703	27.223721	0	1.478494
489	86.196834	9.086331	28.613093	0	1.578494
490	86.024441	7.881229	29.818195	0	1.678494
491	85.852392	6.835958	30.863467	0	1.778494
492	85.680687	5.929318	31.770106	0	1.878494
493	85.509326	5.142924	32.5565	0	1.978494
494	85.338307	4.460828	33.238596	0	2.078494
495	85.16763	3.869197	33.830227	0	2.178494
496	84.997295	3.356033	34.343391	0	2.278494
497	84.827301	2.910929	34.788495	0	2.378494
498	84.657646	2.55691	35.142515	0	2.5034
499	84.488331	2.28431	35.415115	0	2.662245
500	84.319354	2.28431	34.394367	1.020748	-0
501	84.150715	2.28431	34.264877	1.150239	0
502	83.982414	2.28431	34.135876	1.279242	0
503	83.814449	2.28431	34.007359	1.407759	0
504	83.64682	2.28431	33.879326	1.535792	0
505	83.479527	2.28431	33.751774	1.663343	0
506	83.312568	2.28431	33.624702	1.790414	0
507	83.145942	2.28431	33.498108	1.917007	0
508	82.97965	2.28431	33.37199	2.043123	0
509	82.813691	2.28431	33.246349	2.168764	0
510	82.648064	2.28431	33.121181	2.293933	0
511	82.482768	2.28431	32.996483	2.418629	0
512	82.317802	2.28431	32.872257	2.542857	0
513	82.153167	2.28431	32.748497	2.666617	0
514	81.98886	2.28431	32.625202	2.789911	0
515	81.824882	2.28431	32.502373	2.91274	0
516	81.661233	2.28431	32.380005	3.035108	0
517	81.49791	2.28431	32.258099	3.157014	0
518	81.334914	2.28431	32.13665	3.278462	0
519	81.172245	2.28431	32.015659	3.399452	0
